city,date,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,year,month,weekday,is_weekend,season,aqi_bucket_encoded
Hyderabad,,-0.002754047580758875,0.4928387449021161,-1.5429517557231671,-0.43421685212374384,-0.6835993540190776,-0.529058242229509,-0.11645865764314033,-0.7015966219423642,1.396337646580705,-0.021257219021919082,-0.11640910831445583,-0.627751942738957,104.0,Moderate,,,,False,,2
Hyderabad,,-0.3034113137949938,0.021758739118726365,-1.0138523149818104,-0.23219133391792712,-0.3180303087134014,-0.6291687016906127,0.19117668749735234,-0.45321591046917914,1.1817253321511443,0.6101333201329049,0.25179046644245806,0.05126383953629813,92.0,Satisfactory,,,,False,,1
Hyderabad,,0.07463031207775753,0.9473314265382029,-0.49272924771896665,0.33082021995345534,0.30448155129283594,-0.47688800279203264,0.3449943600675988,-0.1280164222517099,0.5214324925483736,0.8205968331845129,0.8318926536104935,1.3951492419560736,112.0,Moderate,,,,False,,2
Hyderabad,,0.21629020544170766,1.336240380391879,-0.10188694727183358,1.032526408580555,1.0826213763006325,0.051864423939147995,0.7756838432642884,0.39179063371794554,0.18820059218809704,2.1657331992100075,1.8673600291513652,1.5578301064595204,124.0,Moderate,,,,False,,2
Hyderabad,,-0.12115634651182175,0.8250956070526974,-1.053734182374375,0.2586230128203421,0.07573977723014128,0.4931964494507733,-0.02416805410099242,-0.09728891155399626,0.31984776270079907,0.56438038251299,0.9851839051419432,0.4827217845236997,114.0,Moderate,,,,False,,2
Hyderabad,,-0.12327067327844775,0.9465658577314043,-1.2265556077421549,0.3548859556644932,0.13005289253269883,0.2041451228377278,0.09888608395520444,-0.5633228238026529,0.5927413765760872,0.2898627567935013,0.5403387046193048,-0.012393890052007087,112.0,Moderate,,,,False,,2
Hyderabad,,0.3139721020598347,1.4546483558433916,-1.1521094552760343,0.8343007433817446,0.5656022979397476,0.394495996460953,0.6833932397221408,-0.17666831418975656,0.9739696411857865,1.451987372339337,2.0131370036469596,2.1095304295581645,124.0,Moderate,,,,False,,2
Hyderabad,,-0.10551032843878853,0.7301650750096742,-1.2877078044107542,-0.27652295233299656,-0.4590355119027336,0.09839463749149165,-0.02416805410099242,-0.5325953131049392,1.4971300115044928,-0.021257219021919082,-0.12843195157182447,-0.5004364835623467,119.0,Moderate,,,,False,,2
Hyderabad,,-0.22518122342982713,0.40658465933614313,-1.5535869203611847,-0.2575236872979667,-0.5175265591516418,-0.49521808691871366,0.06812254944115514,-0.9730229664388343,0.9972821609640772,0.07024865621791036,-0.10889483127860035,-0.5711672942160191,105.0,Moderate,,,,False,,2
Hyderabad,2019-01-06,-0.41631636313282866,0.10214346383257684,-1.391400659631422,-0.160627435619315,-0.38696618582818604,-0.4571479121940685,-0.08569512312909103,-0.8296279165161708,0.8169529638555327,0.0061945435500298145,0.011333601295085743,0.21394470403974464,95.0,Satisfactory,2019.0,1.0,Sunday,True,Winter,1
Hyderabad,2019-02-06,-0.019668661713767813,0.9103289342096055,-1.1122275878834698,0.15412705512767846,-0.011996793643221013,-0.6390387469895947,0.28346729103950025,-0.5710047014770814,0.5824564413797824,0.48202509479714356,0.8093498225029273,0.2493101093665807,111.0,Moderate,2019.0,2.0,Wednesday,False,Winter,2
Hyderabad,2019-03-06,-0.7241623403535925,-0.5246021993331896,-1.4685056032570467,-0.5748114133829642,-0.768202475932677,-0.5389282875284911,-0.39333046826958384,-0.834749168299123,0.4028129066176581,-0.49708777026903284,-0.6153571034952533,-0.1467824302939846,91.0,Satisfactory,2019.0,3.0,Wednesday,False,Spring,1
Hyderabad,2019-04-06,-0.8789310596706248,-0.9377541654021536,-1.5642220849992017,-0.2853892760160105,-0.5478165657626837,-0.4712479769069002,-0.45485753729768247,-0.926931700392264,1.13030065616962,-0.26832308216945894,-0.3418374193901173,1.0697875129491807,75.0,Satisfactory,2019.0,4.0,Saturday,True,Spring,1
Hyderabad,2019-05-06,-0.3875615191067134,0.025586583152719382,-1.2611198928157108,0.12499484874063274,-0.09242198361046974,-0.10182628143071515,0.12964961846925374,-0.7143997513997448,0.8923758219617683,-0.21341955702556123,-0.3884259370124206,-0.26702480840522774,86.0,Satisfactory,2019.0,5.0,Monday,False,Spring,1
Hyderabad,2019-06-06,-0.3858700576934125,0.33360043308801235,-1.5456105468826717,-0.27652295233299656,-0.5206600081114047,-0.3513974268478323,-0.42409400278363313,-0.8398704200820755,1.2694901124929456,-0.17681720692962938,-0.22010613140926003,-0.6348250238043243,103.0,Moderate,2019.0,6.0,Thursday,False,Summer,2
Hyderabad,2019-07-06,-0.6928703042075259,-0.5906963063201333,-1.5243402176066372,-0.39685163088818526,-0.6251083067701694,-0.4529178927802191,-0.3010398647274361,-0.5710047014770814,1.7713949500726216,-0.14021485683369764,-0.09536913261406069,-0.6701904291311603,89.0,Satisfactory,2019.0,7.0,Saturday,True,Summer,1
Hyderabad,2019-08-06,-0.5376787195371684,-0.6728673582498469,-1.2238968165826507,0.1674265406521991,-0.025575072468860312,-0.376777543330929,0.3757578945816478,-0.7886579022525527,1.158412812372853,0.31731451936545024,0.4862359099611458,-0.40141334864720535,78.0,Satisfactory,2019.0,8.0,Tuesday,False,Summer,1
